,signature,body,docstring,id
21180,fun findJvmRootsForJavaFiles(files: List<PsiJavaFile>): List<PsiDirectory>,"{
    if (files.isEmpty()) return emptyList()
    val result = mutableSetOf<PsiDirectory>()
    for (file in files) {
        val packageParts = file.packageName.takeIf { it.isNotEmpty() }?.split('.') ?: emptyList()
        var javaDir: PsiDirectory? = file.parent
        for (part in packageParts.reversed()) {
            if (javaDir?.name == part) {
                javaDir = javaDir.parent
            } else {
                break
            }
        }
        javaDir?.let { result += it }
    }
    return result.toList()
}","/**

     * Note that [findJvmRootsForJavaFiles] parses the given [files] because it needs access to each file's package name. To avoid parsing

     * errors, [registerJavaPsiFacade] ensures that the Java language level is configured before [findJvmRootsForJavaFiles] is called.

     */",f8501:m613
64457,"@SinceKotlin(""1.5"") @WasExperimental(ExperimentalPathApi::class) @Throws(IOException::class) @kotlin.internal.InlineOnly public inline fun Path.outputStream(vararg options: OpenOption): OutputStream","{
    return Files.newOutputStream(this, *options)
}","/**

 * Constructs a new OutputStream of this file and returns it as a result.

 *

 * The [options] parameter determines how the file is opened. If no options are present then it is

 * equivalent to opening the file with the [CREATE][StandardOpenOption.CREATE],

 * [TRUNCATE_EXISTING][StandardOpenOption.TRUNCATE_EXISTING], and [WRITE][StandardOpenOption.WRITE]

 * options.

 */",f17469:m471
63251,public actual fun String.toByte(radix: Int): Byte,toByteOrNull(radix) ?: numberFormatError(this),"/**

 * Parses the string as a signed [Byte] number and returns the result.

 * @throws NumberFormatException if the string is not a valid representation of a number.

 * @throws IllegalArgumentException when [radix] is not a valid radix for string to number conversion.

 */",f17352:m45
48355,"internal fun runCommandWithFallback(command: List<String>, logger: Logger? = null, fallback: (result: RunProcessResult) -> CommandFallback, processConfiguration: ProcessBuilder.() -> Unit = {}): String","{
    val runResult = assembleAndRunProcess(command, logger, processConfiguration)
    return if (runResult.retCode != 0) { when (val fallbackOption = fallback(runResult)) {
        is CommandFallback.Action -> fallbackOption.fallback
        is CommandFallback.Error -> error(fallbackOption.error ?: createErrorMessage(command, runResult))
    } } else {
        runResult.stdOut
    }
}","/**

 * Executes the specified command with fallback behavior in case of non-zero return code.

 *

 * @param command the command and its arguments to be executed as a list of strings.

 * @param logger an optional logger to log information about the command execution.

 * @param fallback a function that provides the fallback behavior. It takes the return code, output, and process as parameters and returns a [CommandFallback] object.

 * @param processConfiguration a function to configure the process before execution.

 * @return the output of the command if the return code is 0, otherwise the fallback action or error.

 */",f15610:m113
63536,"@SinceKotlin(""1.3"") @Suppress(""ACTUAL_FUNCTION_WITH_DEFAULT_ARGUMENTS"") public actual fun <T> Array<T>.fill(element: T, fromIndex: Int = 0, toIndex: Int = size): Unit","{
    AbstractList.checkRangeIndexes(fromIndex, toIndex, size)
    for (index in fromIndex until toIndex) {
        this[index] = element
    }
}","/**

 * Fills this array or its subrange with the specified [element] value.

 * 

 * @param fromIndex the start of the range (inclusive) to fill, 0 by default.

 * @param toIndex the end of the range (exclusive) to fill, size of this array by default.

 * 

 * @throws IndexOutOfBoundsException if [fromIndex] is less than zero or [toIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [fromIndex] is greater than [toIndex].

 */",f17396:m3763
59022,"@SinceKotlin(""1.4"") @OptIn(kotlin.experimental.ExperimentalTypeInference::class) @OverloadResolutionByLambdaReturnType @kotlin.internal.InlineOnly public inline fun CharSequence.maxOfOrNull(selector: (Char) -> Double): Double?","{
    if (isEmpty()) return null
    var maxValue = selector(this[0])
    for (i in 1 .. lastIndex) {
        val v = selector(this[i])
        maxValue = maxOf(maxValue, v)
    }
    return maxValue
}","/**

 * Returns the largest value among all values produced by [selector] function

 * applied to each character in the char sequence or `null` if there are no characters.

 * 

 * If any of values produced by [selector] function is `NaN`, the returned result is `NaN`.

 */",f17097:m2651
14013,"@SinceKotlin(""1.1"") @kotlin.internal.InlineOnly public actual inline fun String.toByte(radix: Int): Byte",toByteOrNull(radix) ?: throw NumberFormatException(),"/**

 * Parses the string as a signed [Byte] number and returns the result.

 * @throws NumberFormatException if the string is not a valid representation of a number.

 * @throws IllegalArgumentException when [radix] is not a valid radix for string to number conversion.

 */",f3714:m141
52890,"public fun json(vararg pairs: Pair<String, Any?>): Json","{
    val res: dynamic = js(""({})"")
    for ((name, value) in pairs) {
        res[name] = value
    }
    return res
}","/**

 * Returns a simple JavaScript object (as [Json]) using provided key-value pairs as names and values of its properties.

 */",f16586:m103
53464,"@SinceKotlin(""1.4"") public fun Element.hasClass(cssClass: String): Boolean","className.matches(""""""(^|.*\s+)$cssClass($|\s+.*)"""""".toRegex())",/** Returns true if the element has the given CSS class style in its 'class' attribute */,f16680:m19
54831,"@SinceKotlin(""1.1"") @kotlin.internal.InlineOnly public actual inline fun minOf(a: Float, b: Float, c: Float): Float","{
    return JsMath.min(a, b, c)
}","/**

 * Returns the smaller of three values.

 * 

 * If any value is `NaN`, returns `NaN`.

 */",f16714:m681
63494,public actual fun IntArray.copyOf(): IntArray,"{
    return this.copyOfUninitializedElements(size)
}","/**

 * Returns new array which is a copy of the original array.

 * 

 * @sample samples.collections.Arrays.CopyOfOperations.copyOf

 */",f17396:m2719
53126,public actual fun String.toInt(): Int,toIntOrNull() ?: numberFormatError(this),"/**

 * Parses the string as an [Int] number and returns the result.

 * @throws NumberFormatException if the string is not a valid representation of a number.

 */",f16618:m87
57235,public actual fun <T> Array<out T>.asList(): List<T>,"{
    return ArraysUtilJVM.asList(this)
}","/**

 * Returns a [List] that wraps the original array.

 */",f16970:m257
13702,public operator fun rangeTo(other: Int): LongRange,"LongRange(this, other.toLong())",/** Creates a range from this value to the specified [other] value. */,f3686:m3315
63243,"@SinceKotlin(""1.9"") @kotlin.internal.InlineOnly public actual inline fun StringBuilder.appendLine(value: Long): StringBuilder",append(value).appendLine(),"/** Appends [value] to this [StringBuilder], followed by a line feed character (`\n`). */",f17351:m49
59062,"@Deprecated(""Use sumOf instead."", ReplaceWith(""this.sumOf(selector)"")) @DeprecatedSinceKotlin(warningSince = ""1.5"") public inline fun CharSequence.sumBy(selector: (Char) -> Int): Int","{
    var sum: Int = 0
    for (element in this) {
        sum += selector(element)
    }
    return sum
}","/**

 * Returns the sum of all values produced by [selector] function applied to each character in the char sequence.

 */",f17097:m4197
13953,@ExperimentalNativeApi public fun Char.Companion.isSupplementaryCodePoint(codepoint: Int): Boolean,codepoint in MIN_SUPPLEMENTARY_CODE_POINT .. MAX_CODE_POINT,"/**

 * Checks if the codepoint specified is a supplementary codepoint or not.

 *

 * Note that this function is unstable.

 * In the future it could be deprecated in favour of an overload that would accept a `CodePoint` type.

 */",f3711:m89
14022,"@SinceKotlin(""1.1"") public actual fun String.toFloatOrNull(): Float?","{
    try {
        return toFloat()
    } catch (e: NumberFormatException) {
        return null
    }
}","/**

 * Parses the string as a [Float] number and returns the result

 * or `null` if the string is not a valid representation of a number.

 */",f3714:m281
13965,"@Suppress(""ACTUAL_FUNCTION_WITH_DEFAULT_ARGUMENTS"") public actual fun String.replace(oldValue: String, newValue: String, ignoreCase: Boolean = false): String","splitToSequence(oldValue, ignoreCase = ignoreCase).joinToString(separator = newValue)","/**

 * Returns a new string obtained by replacing all occurrences of the [oldValue] substring in this string

 * with the specified [newValue] string.

 *

 * @sample samples.text.Strings.replace

 */",f3713:m175
63421,public actual fun CharArray.asList(): List<Char>,"{
    return object : AbstractList<Char>(), RandomAccess {
        override val size: Int get() = this@asList.size
    
        override fun isEmpty(): Boolean = this@asList.isEmpty()
    
        override fun contains(element: Char): Boolean = this@asList.contains(element)
    
        override fun get(index: Int): Char = this@asList[index]
    
        override fun indexOf(element: Char): Int = this@asList.indexOf(element)
    
        override fun lastIndexOf(element: Char): Int = this@asList.lastIndexOf(element)
    }
}","/**

 * Returns a [List] that wraps the original array.

 */",f17396:m435
56258,public override fun toString(): String,"""($first, $second, $third)""","/**

     * Returns string representation of the [Triple] including its [first], [second] and [third] values.

     */",f16844:m143
56922,"@SinceKotlin(""1.2"") @kotlin.internal.InlineOnly public inline fun Float.toBigDecimal(mathContext: MathContext): BigDecimal","BigDecimal(this.toString(), mathContext)","/**

 * Returns the value of this [Float] number as a [BigDecimal].

 *

 * The number is converted to a string and then the string is converted to a [BigDecimal].

 *

 * @param mathContext specifies the precision and the rounding mode.

 */",f16935:m217
58752,public inline fun <T> Sequence<T>.lastOrNull(predicate: (T) -> Boolean): T?,"{
    var last: T? = null
    for (element in this) {
        if (predicate(element)) {
            last = element
        }
    }
    return last
}","/**

 * Returns the last element matching the given [predicate], or `null` if no such element was found.

 *

 * The operation is _terminal_.

 * 

 * @sample samples.collections.Collections.Elements.last

 */",f17096:m623
14919,"public actual fun ShortArray.copyOfRange(fromIndex: Int, toIndex: Int): ShortArray","{
    checkCopyOfRangeArguments(fromIndex, toIndex, size)
    return copyOfUninitializedElements(fromIndex, toIndex)
}","/**

 * Returns a new array which is a copy of the specified range of the original array.

 * 

 * @param fromIndex the start of the range (inclusive) to copy.

 * @param toIndex the end of the range (exclusive) to copy.

 * 

 * @throws IndexOutOfBoundsException if [fromIndex] is less than zero or [toIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [fromIndex] is greater than [toIndex].

 */",f3831:m3065
11452,"fun <T: Any> SingleNullableOption<T>.default(value: T): SingleOption<T, DefaultRequiredType.Default>","{
    val newOption = with((delegate.cast<ParsingValue<T, T>>()).descriptor as OptionDescriptor) { SingleOption<T, DefaultRequiredType.Default>(OptionDescriptor(optionFullFormPrefix, optionShortFromPrefix, type, fullName, shortName, description, value, required, multiple, delimiter, deprecatedWarning), owner) }
    owner.entity = newOption
    return newOption
}","/**

 * Specifies the default value for the option, that will be used when no value is provided for it

 * in command line string.

 *

 * @param value the default value.

 */",f3549:m281
16399,private fun KotlinDeclarationProvider.getTopLevelCallables(callableId: CallableId): List<KtCallableDeclaration>,getTopLevelFunctions(callableId) + getTopLevelProperties(callableId),"/**

 * Callables are provided very rarely (compared to functions/properties individually), so it's okay to hit indices twice here.

 */",f4112:m325
9638,private fun qualifyInternalName(declaration: IrDeclaration): String,"{
    return getFqName(declaration).asString() + ""#internal""
}","/**

     * Produces the name to be used for non-exported LLVM declarations corresponding to [declaration].

     *

     * Note: since these declarations are going to be private, the name is only required not to clash with any

     * exported declarations.

     */",f3375:m337
58709,public fun Float.coerceAtMost(maximumValue: Float): Float,"{
    return if (this > maximumValue) maximumValue else this
}","/**

 * Ensures that this value is not greater than the specified [maximumValue].

 * 

 * @return this value if it's less than or equal to the [maximumValue] or the [maximumValue] otherwise.

 * 

 * @sample samples.comparisons.ComparableOps.coerceAtMost

 */",f17092:m2671
58646,public infix fun Short.downTo(to: Byte): IntProgression,"{
    return IntProgression.fromClosedRange(this.toInt(), to.toInt(), -1)
}","/**

 * Returns a progression from this value down to the specified [to] value with the step -1.

 * 

 * The [to] value should be less than or equal to `this` value.

 * If the [to] value is greater than `this` value the returned progression is empty.

 */",f17092:m1591
48548,"@JvmOverloads fun framework(buildTypes: Collection<NativeBuildType> = NativeBuildType.DEFAULT_BUILD_TYPES, configure: Action<Framework>)",framework(buildTypes) { configure.execute(this) },/** Creates an Objective-C framework with the default name prefix for each build type and configures it. */,f15652:m567
57391,public actual fun LongArray.toTypedArray(): Array<Long>,"{
    val result = arrayOfNulls<Long>(size)
    for (index in indices) result[index] = this[index]
    @Suppress(""UNCHECKED_CAST"") return result as Array<Long>
}","/**

 * Returns a *typed* object array containing all of the elements of this primitive array.

 */",f16970:m4587
56233,"@SinceKotlin(""1.5"") @kotlin.internal.InlineOnly @kotlin.internal.IntrinsicConstEvaluation public inline fun Short.floorDiv(other: Long): Long",this.toLong().floorDiv(other),"/** Divides this value by the other value, flooring the result to an integer that is closer to negative infinity. */",f16842:m281
53123,public actual fun String.toByte(radix: Int): Byte,toByteOrNull(radix) ?: numberFormatError(this),"/**

 * Parses the string as a signed [Byte] number and returns the result.

 * @throws NumberFormatException if the string is not a valid representation of a number.

 * @throws IllegalArgumentException when [radix] is not a valid radix for string to number conversion.

 */",f16618:m45
58856,"@SinceKotlin(""1.4"") public fun <T: Comparable<T>> Sequence<T>.minOrNull(): T?","{
    val iterator = iterator()
    if (!iterator.hasNext()) return null
    var min = iterator.next()
    while (iterator.hasNext()) {
        val e = iterator.next()
        if (min > e) min = e
    }
    return min
}","/**

 * Returns the smallest element or `null` if there are no elements.

 *

 * The operation is _terminal_.

 */",f17096:m4177
16751,"fun lazyResolveRecursively(target: FirElementWithResolveState, toPhase: FirResolvePhase)","{
    lazyResolve(target, toPhase, LLFirResolveDesignationCollector::getDesignationToResolveRecursively)
}","/**

     * Lazily resolves the [target] with nested declarations to a given [toPhase] recursively.

     *

     * Might resolve additional required declarations.

     *

     * Resolution is performed under the lock specific to each declaration that is going to be resolved.

     */",f4163:m111
20216,public fun <S: KtCallableSymbol> S.asSignature(): KtCallableSignature<S>,withValidityAssertion { analysisSession.signatureSubstitutor.asSignature(this) },"/**

     * Creates a new [KtCallableSignature] by given symbol and leave all types intact

     */",f5793:m121
59028,"@SinceKotlin(""1.7"") @kotlin.jvm.JvmName(""maxWithOrThrow"") @Suppress(""CONFLICTING_OVERLOADS"") public fun CharSequence.maxWith(comparator: Comparator<in Char>): Char","{
    if (isEmpty()) throw NoSuchElementException()
    var max = this[0]
    for (i in 1 .. lastIndex) {
        val e = this[i]
        if (comparator.compare(max, e) < 0) max = e
    }
    return max
}","/**

 * Returns the first character having the largest value according to the provided [comparator].

 * 

 * @throws NoSuchElementException if the char sequence is empty.

 */",f17097:m2883
11894,"@Suppress(""FINAL_UPPER_BOUND"") @ExperimentalForeignApi public fun <T: UShort> NativePlacement.alloc(value: T): UShortVarOf<T>",alloc<UShortVarOf<T>> { this.value = value },"/**

 * Allocates variable with given value type and initializes it with given value.

 */",f3606:m117
40922,"fun findSealedSupertypes(fqName: FqName, caches: Iterable<IncrementalCacheCommon>): Collection<FqName>","{
    if (isSealed(fqName, caches)) {
        return listOf(fqName)
    }
    return caches.flatMap { cache -> cache.getSupertypesOf(fqName).filter { cache.isSealed(it) ?: false } }
}","/**

 * Finds sealed supertypes of class in same module.

 * This method should be used for processing freedomOsSealedClasses feature, because

 * mutually declared list of sealed subclasses could be declared only in the same module.

 */",f12967:m515
52887,"@SinceKotlin(""1.1"") public actual fun <T, K> Grouping<T, K>.eachCount(): Map<K, Int>","fold(0) { acc, _ -> acc + 1 }","/**

 * Groups elements from the [Grouping] source by key and counts elements in each group.

 *

 * @return a [Map] associating the key of each group with the count of elements in the group.

 *

 * @sample samples.collections.Grouping.groupingByEachCount

 */",f16585:m15
63670,"@Deprecated(""Use Kotlin compiler 1.4 to avoid deprecation warning."") @SinceKotlin(""1.3"") @DeprecatedSinceKotlin(hiddenSince = ""1.4"") @ExperimentalUnsignedTypes public infix fun UIntArray.contentEquals(other: UIntArray): Boolean","{
    return this.contentEquals(other)
}","/**

 * Checks if the two specified arrays are *structurally* equal to one another.

 * 

 * Two arrays are considered structurally equal if they have the same size, and elements at corresponding indices are equal.

 * 

 * @param other the array to compare with this array.

 * @return `true` if the two arrays are structurally equal, `false` otherwise.

 * 

 * @sample samples.collections.Arrays.ContentOperations.intArrayContentEquals

 */",f17408:m255
56124,"@kotlin.internal.InlineOnly public inline fun <T> compareValuesBy(a: T, b: T, selector: (T) -> Comparable<*>?): Int","{
    return compareValues(selector(a), selector(b))
}","/**

 * Compares two values using the specified [selector] function to calculate the result of the comparison.

 * The function is applied to the given values [a] and [b] and return [Comparable] objects.

 * The result of comparison of these [Comparable] instances is returned.

 *

 * @sample samples.comparisons.Comparisons.compareValuesByWithSingleSelector

 */",f16832:m65
55632,"@SinceKotlin(""1.4"") @kotlin.internal.InlineOnly public inline operator fun <T, V> KMutableProperty1<T, V>.setValue(thisRef: T, property: KProperty<*>, value: V)","{
    set(thisRef, value)
}","/**

 * An extension operator that allows delegating a mutable member or extension property of type [V]

 * to a property reference to a member or extension mutable property of the same type [V].

 *

 * @receiver A property reference to a read-only or mutable property of type [V] or its subtype.

 * The reference has an unbound receiver of type [T].

 *

 * Example:

 *

 * ```

 * class Login(val username: String, var incorrectAttemptCounter: Int)

 * var Login.attempts by Login::incorrectAttemptCounter

 * // equivalent to

 * var Login.attempts: Int

 *     get() = this.incorrectAttemptCounter

 *     set(value) { this.incorrectAttemptCounter = value }

 * ```

 */",f16773:m167
8491,"fun makeObjectFile(bitcodeFile: File, objectFile: File)","when (val configurables = platform.configurables) {
    is ClangFlags -> clang(configurables, bitcodeFile, objectFile)
    else -> error(""Unsupported configurables kind: ${configurables::class.simpleName}!"")
}","/**

     * Compile [bitcodeFile] to [objectFile].

     */",f3270:m163
63469,"@Deprecated(""Use Kotlin compiler 1.4 to avoid deprecation warning."") @SinceKotlin(""1.1"") @DeprecatedSinceKotlin(hiddenSince = ""1.4"") public fun FloatArray.contentToString(): String","{
    return this.contentToString()
}","/**

 * Returns a string representation of the contents of the specified array as if it is [List].

 * 

 * @sample samples.collections.Arrays.ContentOperations.contentToString

 */",f17396:m1921
54713,public actual fun FloatArray.copyOf(newSize: Int): FloatArray,"{
    require(newSize >= 0) { ""Invalid new array size: $newSize."" }
    return fillFrom(this, FloatArray(newSize))
}","/**

 * Returns new array which is a copy of the original array, resized to the given [newSize].

 * The copy is either truncated or padded at the end with zero values if necessary.

 * 

 * - If [newSize] is less than the size of the original array, the copy array is truncated to the [newSize].

 * - If [newSize] is greater than the size of the original array, the extra elements in the copy array are filled with zero values.

 * 

 * @sample samples.collections.Arrays.CopyOfOperations.resizedPrimitiveCopyOf

 */",f16713:m1929
8269,"internal fun resolveCacheBinaries(cachedLibraries: CachedLibraries, dependenciesTrackingResult: DependenciesTrackingResult): ResolvedCacheBinaries","{
    val staticCaches = mutableListOf<String>()
    val dynamicCaches = mutableListOf<String>()
    dependenciesTrackingResult.allCachedBitcodeDependencies.forEach { dependency ->
        val library = dependency.library
        val cache = cachedLibraries.getLibraryCache(library) ?: error(""Library $library is expected to be cached"")
        val list = when (cache.kind) {
            CachedLibraries.Kind.DYNAMIC -> dynamicCaches
            CachedLibraries.Kind.STATIC -> staticCaches
            CachedLibraries.Kind.HEADER -> error(""Header cache ${cache.path} cannot be used for linking"")
        }
        list += if (dependency.kind is DependenciesTracker.DependencyKind.CertainFiles && cache is CachedLibraries.Cache.PerFile) dependency.kind.files.map { cache.getFileBinaryPath(it) } else cache.binariesPaths
    }
    return ResolvedCacheBinaries(static = staticCaches, dynamic = dynamicCaches)
}","/**

 * Find binary files for compiler caches that are actually required for the linkage.

 */",f3225:m61
58489,"@SinceKotlin(""1.4"") @OptIn(kotlin.experimental.ExperimentalTypeInference::class) @OverloadResolutionByLambdaReturnType @kotlin.internal.InlineOnly public inline fun <K, V> Map<out K, V>.maxOfOrNull(selector: (Map.Entry<K, V>) -> Float): Float?","{
    return entries.maxOfOrNull(selector)
}","/**

 * Returns the largest value among all values produced by [selector] function

 * applied to each entry in the map or `null` if there are no entries.

 * 

 * If any of values produced by [selector] function is `NaN`, the returned result is `NaN`.

 */",f17089:m609
16615,fun KtModule.getFirResolveSession(project: Project): LLFirResolveSession,LLFirResolveSessionService.getInstance(project).getFirResolveSession(this),"/**

 * Returns [LLFirResolveSession] which corresponds to containing module

 */",f4145:m39
63594,public actual fun LongArray.toTypedArray(): Array<Long>,"{
    return Array(size) { index -> this[index] }
}","/**

 * Returns a *typed* object array containing all of the elements of this primitive array.

 */",f17396:m5195
63621,"@SinceKotlin(""1.1"") @kotlin.internal.InlineOnly public actual inline fun maxOf(a: Short, b: Short): Short","{
    return maxOf(a.toInt(), b.toInt()).toShort()
}","/**

 * Returns the greater of two values.

 */",f17406:m65
18887,"private fun PrettyPrinter.handleCompiledClassDeclaration(classOrObject: KtClassOrObject, text: String)","{
    handleClassDeclaration(classOrObject, text)
    appendLine()
    classOrObject.declarations.forEach { declaration -> when (declaration) {
        is KtEnumEntry -> {
            handleClassDeclaration(declaration, text)
            appendLine()
        }
        is KtClassOrObject -> handleCompiledClassDeclaration(declaration, text)
    } }
}","/**

     * [handleCompiledClassDeclaration] uses a custom traversal instead of [forEachDescendantOfType] because trying to access the PSI of

     * compiled code in this test results in exceptions. Hence, we have to traverse nested classes and enum entries manually.

     */",f5551:m241
52689,"internal fun <T: Comparable<T>> sortArray(array: Array<out T>, fromIndex: Int, toIndex: Int)","{
    if (fromIndex < toIndex - 1) {
        @Suppress(""UNCHECKED_CAST"") mergeSort(array as Array<T>, fromIndex, toIndex - 1)
    }
}","/**

 * Sorts a subarray of [Comparable] elements specified by [fromIndex] (inclusive) and

 * [toIndex] (exclusive) parameters using the merge sort algorithm.

 */",f16557:m747
57317,"@JvmName(""copyOfRangeInline"") @kotlin.internal.InlineOnly public actual inline fun LongArray.copyOfRange(fromIndex: Int, toIndex: Int): LongArray","{
    return if (kotlin.internal.apiVersionIsAtLeast(1, 3, 0)) {
        copyOfRangeImpl(fromIndex, toIndex)
    } else {
        if (toIndex > size) throw IndexOutOfBoundsException(""toIndex: $toIndex, size: $size"")
        java.util.Arrays.copyOfRange(this, fromIndex, toIndex)
    }
}","/**

 * Returns a new array which is a copy of the specified range of the original array.

 * 

 * @param fromIndex the start of the range (inclusive) to copy.

 * @param toIndex the end of the range (exclusive) to copy.

 * 

 * @throws IndexOutOfBoundsException if [fromIndex] is less than zero or [toIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [fromIndex] is greater than [toIndex].

 */",f16970:m2831
43520,internal fun TestProject.chooseCompilerVersion(version: String),"{
    buildGradle.append(""""""
    
            kotlin {
    
                compilerVersion.set(""$version"")
    
            }
    
            """""".trimIndent())
}","/**

 * Chooses compiler version used for JVM compilation in the build tools API mode.

 *

 * If the chosen version requires additional repositories, please consider using [DependencyManagement.DefaultDependencyManagement].

 *

 * Ensure [BuildOptions.runViaBuildToolsApi] is set to true for the builds!

 */",f13453:m391
63254,public actual fun String.toInt(): Int,toIntOrNull() ?: numberFormatError(this),"/**

 * Parses the string as an [Int] number and returns the result.

 * @throws NumberFormatException if the string is not a valid representation of a number.

 */",f17352:m85
63443,"@SinceKotlin(""1.4"") public actual infix fun DoubleArray?.contentEquals(other: DoubleArray?): Boolean","{
    if (this === other) return true
    if (this === null || other === null) return false
    if (size != other.size) return false
    for (i in indices) {
        if (!this[i].equals(other[i])) return false
    }
    return true
}","/**

 * Checks if the two specified arrays are *structurally* equal to one another.

 * 

 * Two arrays are considered structurally equal if they have the same size, and elements at corresponding indices are equal.

 * Elements are compared for equality using the [equals][Any.equals] function.

 * This means `NaN` is equal to itself and `-0.0` is not equal to `0.0`.

 * 

 * The arrays are also considered structurally equal if both are `null`.

 * 

 * @param other the array to compare with this array.

 * @return `true` if the two arrays are structurally equal, `false` otherwise.

 * 

 * @sample samples.collections.Arrays.ContentOperations.doubleArrayContentEquals

 */",f17396:m1263
54791,public actual fun ShortArray.toTypedArray(): Array<Short>,"{
    return js(""[]"").slice.call(this)
}","/**

 * Returns a *typed* object array containing all of the elements of this primitive array.

 */",f16713:m3765
17898,private fun handleAsGenericTypeQualifier(element: KtElement): KtCallInfo?,"{
    if (element !is KtExpression) return null
    val wholeQualifier = element.getQualifiedExpressionForSelector() as? KtDotQualifiedExpression ?: element
    val call = wholeQualifier.getPossiblyQualifiedCallExpression() ?: return null
    if (call.typeArgumentList == null || call.valueArgumentList != null) return null
    return KtSuccessCallInfo(KtGenericTypeQualifier(token, wholeQualifier))
}","/**

     * Handles call expressions like `Foo<Bar>` or `test.Foo<Bar>` in calls like `Foo<Bar>::foo` and `test.Foo<Bar>::foo`.

     *

     * ATM does not perform any resolve checks, since it does not seem possible with [BindingContext], so it might give some

     * false positives.

     */",f5366:m843
57060,@kotlin.internal.InlineOnly public inline fun println(message: CharArray),"{
    System.out.println(message)
}",/** Prints the given [message] and the line separator to the standard output stream. */,f16953:m261
9288,"private fun InteropCallContext.castFromBoolean(targetClass: IrClassSymbol, value: IrExpression): IrExpression","{
    val (thenPart, elsePart) = when (targetClass) {
        symbols.byte -> builder.irByte(1) to builder.irByte(0)
        symbols.long -> builder.irLong(1) to builder.irLong(0)
        else -> error(""Unsupported cast from boolean to ${targetClass.owner.name}"")
    }
    return builder.irIfThenElse(targetClass.defaultType, value, thenPart, elsePart)
}","/**

 * Perform if (value) 1 else 0

 */",f3339:m331
15378,@Test fun absJ(),"{
    assertTrue(""Incorrect long abs value"", abs(-19088976000089L) == 19088976000089L)
    assertTrue(""Incorrect long abs value"", abs(19088976000089L) == 19088976000089L)
}","/**

     * Tests kotlin.math.abs(long)

     */",f3868:m199
63682,internal fun Char.isLetterImpl(): Boolean,"{
    return getLetterType() != 0
}","/**

 * Returns `true` if this character is a letter.

 */",f17409:m119
16617,"@Suppress(""INVISIBLE_REFERENCE"", ""INVISIBLE_MEMBER"") inline fun <reified S: FirBasedSymbol<*>> KtDeclaration.resolveToFirSymbolOfType(firResolveSession: LLFirResolveSession, phase: FirResolvePhase = FirResolvePhase.RAW_FIR): @kotlin.internal.NoInfer S","{
    val symbol = resolveToFirSymbol(firResolveSession, phase)
    if (symbol !is S) {
        throwUnexpectedFirElementError(symbol, this, S::class)
    }
    return symbol
}","/**

 * Creates [FirBasedSymbol] by [KtDeclaration] .

 * returned [FirDeclaration] will be resolved at least to [phase]

 *

 * If resulted [FirBasedSymbol] is not subtype of [S], throws [InvalidFirElementTypeException]

 */",f4145:m77
15004,public actual fun DoubleArray.toTypedArray(): Array<Double>,"{
    return Array(size) { index -> this[index] }
}","/**

 * Returns a *typed* object array containing all of the elements of this primitive array.

 */",f3831:m5117
55114,@kotlin.internal.IntrinsicConstEvaluation public inline operator fun compareTo(other: Double): Int,this.toDouble().compareTo(other),"/**

     * Compares this value with the specified value for order.

     * Returns zero if this value is equal to the specified other value, a negative number if it's less than other,

     * or a positive number if it's greater than other.

     */",f16727:m2491
56877,"@kotlin.internal.InlineOnly public inline fun <R> synchronized(lock: Any, block: () -> R): R","{
    contract { callsInPlace(block, InvocationKind.EXACTLY_ONCE) }
    val lockLocal = lock
    @Suppress(""NON_PUBLIC_CALL_FROM_PUBLIC_INLINE"", ""INVISIBLE_MEMBER"", ""INVISIBLE_REFERENCE"") monitorEnter(lockLocal)
    try {
        return block()
    } finally {
        @Suppress(""NON_PUBLIC_CALL_FROM_PUBLIC_INLINE"", ""INVISIBLE_MEMBER"", ""INVISIBLE_REFERENCE"") monitorExit(lockLocal)
    }
}","/**

 * Executes the given function [block] while holding the monitor of the given object [lock].

 */",f16930:m25
37784,"fun createStandaloneAnalysisApiSession(tempDir: File, kotlinSourceModuleName: String = defaultKotlinSourceModuleName, kotlinSources: Map<String, String>, dependencyKlibs: List<Path> = emptyList()): StandaloneAnalysisAPISession","{
    val testModuleRoot = tempDir.resolve(""testModule"")
    testModuleRoot.mkdirs()
    kotlinSources.forEach { (fileName, sourceCode) -> testModuleRoot.resolve(fileName).apply { writeText(sourceCode) } }
    return createStandaloneAnalysisApiSession(kotlinSourceModuleName, listOf(testModuleRoot), dependencyKlibs)
}","/**

 * Creates a standalone analysis session from Kotlin source code passed as [kotlinSources]

 */",f11917:m49
54825,"@SinceKotlin(""1.1"") @kotlin.internal.InlineOnly public actual inline fun minOf(a: Double, b: Double): Double","{
    return JsMath.min(a, b)
}","/**

 * Returns the smaller of two values.

 * 

 * If either value is `NaN`, returns `NaN`.

 */",f16714:m567
32521,fun isNumberedFunctionClassFqName(fqName: FqNameUnsafe): Boolean,"{
    return fqName.startsWith(BUILT_INS_PACKAGE_NAME) && fqName.getFunctionTypeKind() == FunctionTypeKind.Function
}","/**

 * @return true if this is an FQ name of a fictitious class representing the function type,

 * e.g. kotlin.Function1 (but NOT kotlin.reflect.KFunction1)

 */",f11021:m231
